x,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
error_ratio_avg,0.001684494585818543,0.0017904066738092383,0.0016762744830782557,0.8443713757523618,0.9964047494036533,0.9963900610188464,0.9964082500246497,0.9964002305213208,
error_ratio_std,0.0010808513233303819,0.0011897293604134554,0.0010750484116781376,0.11513810619706147,0.009682452177464386,0.009685329297945775,0.009681308716520788,0.009685448054163081,
N,3,3,3,3,3,3,3,3,
depth,11,11,11,11,11,11,11,11,
gamma,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
epsilon,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
time(ideal),0.0008315245310465494,0.0008315245310465494,0.0008315245310465494,0.0008315245310465494,0.0008315245310465494,0.0008315245310465494,0.0008315245310465494,0.0008315245310465494,
time std(ideal),5.729634939097618e-05,5.729634939097618e-05,5.729634939097618e-05,5.729634939097618e-05,5.729634939097618e-05,5.729634939097618e-05,5.729634939097618e-05,5.729634939097618e-05,
time(noise),0.002852360407511393,0.002852360407511393,0.002852360407511393,0.002852360407511393,0.002852360407511393,0.002852360407511393,0.002852360407511393,0.002852360407511393,
time std(noise),8.764325195790598e-05,8.764325195790598e-05,8.764325195790598e-05,8.764325195790598e-05,8.764325195790598e-05,8.764325195790598e-05,8.764325195790598e-05,8.764325195790598e-05,
time(LRET),0.003738880157470703,0.003724972407023112,0.003766218821207682,0.004033962885538737,0.0038863817850748696,0.003916819890340169,0.003895918528238932,0.0039063294728597,
time std(LRET),0.00024089536051138407,0.00025883330700528527,0.00018951506115579255,7.594778420814753e-05,4.193833333180285e-05,6.260696152674707e-05,8.142086592947968e-05,3.7952929607656544e-05,
