x,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
error_ratio_avg,0.00909426639773368,0.009135326547909979,0.04725039809182535,0.8193072168318238,0.8730558311604307,0.8730817926369158,0.8730686384206736,0.8730681951838686,
error_ratio_std,0.001924833533671833,0.0020439956900473897,0.018872210216217957,0.13760464371364606,0.07952948405551731,0.07953773093831257,0.07952770698981255,0.0795344427610335,
N,13,13,13,13,13,13,13,13,
depth,5,5,5,5,5,5,5,5,
gamma,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
epsilon,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
time(ideal),0.564803679784139,0.564803679784139,0.564803679784139,0.564803679784139,0.564803679784139,0.564803679784139,0.564803679784139,0.564803679784139,
time std(ideal),0.0004685819552329148,0.0004685819552329148,0.0004685819552329148,0.0004685819552329148,0.0004685819552329148,0.0004685819552329148,0.0004685819552329148,0.0004685819552329148,
time(noise),391.35804478327435,391.35804478327435,391.35804478327435,391.35804478327435,391.35804478327435,391.35804478327435,391.35804478327435,391.35804478327435,
time std(noise),7.8552814391217325,7.8552814391217325,7.8552814391217325,7.8552814391217325,7.8552814391217325,7.8552814391217325,7.8552814391217325,7.8552814391217325,
time(LRET),0.5293980439503988,0.5361013412475586,0.4671927293141683,0.38924773534138996,0.3765872319539388,0.3760383129119873,0.37748297055562335,0.3763720194498698,
time std(LRET),0.06988929580426134,0.08217072275321986,0.04188193242923224,0.00719051224947076,0.0007074103389177745,0.0013264336314625807,0.0001339464538887013,0.0013995760918391214,
