x,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
error_ratio_avg,0.009977568884983037,0.009695626133649672,0.023941560151175392,0.6044150912338607,0.6631362489110525,0.6631411158902815,0.6631534068167554,0.6631633416913445,
error_ratio_std,0.0016511323110344422,0.002001376318341384,0.023360440143434455,0.1344150087470826,0.19711241545034763,0.19711432266309273,0.19709889309951673,0.1970978226858801,
N,11,11,11,11,11,11,11,11,
depth,5,5,5,5,5,5,5,5,
gamma,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
epsilon,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
time(ideal),0.042455037434895836,0.042455037434895836,0.042455037434895836,0.042455037434895836,0.042455037434895836,0.042455037434895836,0.042455037434895836,0.042455037434895836,
time std(ideal),0.0002145877882375814,0.0002145877882375814,0.0002145877882375814,0.0002145877882375814,0.0002145877882375814,0.0002145877882375814,0.0002145877882375814,0.0002145877882375814,
time(noise),21.41270645459493,21.41270645459493,21.41270645459493,21.41270645459493,21.41270645459493,21.41270645459493,21.41270645459493,21.41270645459493,
time std(noise),0.33896565109586313,0.33896565109586313,0.33896565109586313,0.33896565109586313,0.33896565109586313,0.33896565109586313,0.33896565109586313,0.33896565109586313,
time(LRET),0.09912816683451335,0.08709422747294109,0.0745396614074707,0.038577000300089516,0.0367437998453776,0.036686340967814125,0.036794185638427734,0.03672464688618978,
time std(LRET),0.06063313163213747,0.042764178754522424,0.033336794854698655,0.0018855166107236343,0.0008883206722361068,0.0008906948893466646,0.0008409858643553755,0.0008060477741755089,
