x,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
error_ratio_avg,0.04585541468354626,0.05452568413495634,0.0992800042521516,1.013154254631418,1.0131542847141233,1.0131539979568471,1.0131563525429605,1.0131563307675215,
error_ratio_std,0.006944789703318853,0.009120650020425516,0.036122033249385344,0.025394485738368052,0.025397601898961033,0.025401840370770545,0.02539783191234445,0.025397184195561064,
N,9,9,9,9,9,9,9,9,
depth,13,13,13,13,13,13,13,13,
gamma,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
epsilon,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
time(ideal),0.004465897878011067,0.004465897878011067,0.004465897878011067,0.004465897878011067,0.004465897878011067,0.004465897878011067,0.004465897878011067,0.004465897878011067,
time std(ideal),0.0002071224346866126,0.0002071224346866126,0.0002071224346866126,0.0002071224346866126,0.0002071224346866126,0.0002071224346866126,0.0002071224346866126,0.0002071224346866126,
time(noise),4.319702227910359,4.319702227910359,4.319702227910359,4.319702227910359,4.319702227910359,4.319702227910359,4.319702227910359,4.319702227910359,
time std(noise),0.022875778353414096,0.022875778353414096,0.022875778353414096,0.022875778353414096,0.022875778353414096,0.022875778353414096,0.022875778353414096,0.022875778353414096,
time(LRET),0.7870645523071289,0.483759085337321,0.39398988087972003,0.04964860280354818,0.029260714848836262,0.029303868611653645,0.029289086659749348,0.02962470054626465,
time std(LRET),0.04306808159472885,0.11460680975758938,0.10854179193649427,0.007939117518136134,0.0005278058333299949,0.0006409759923594165,0.0005114780514684293,0.0006994634972467616,
