x,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
error_ratio_avg,3.552150092595998e-05,3.266126220776816e-05,3.499522697213535e-05,1.0056957307554732,1.0056965197699232,1.0056961103324866,1.0057012303409663,1.005696669904525,
error_ratio_std,2.2921393032074985e-06,1.0720075571672393e-05,8.057386404313114e-06,0.022648550579352205,0.022652700727439155,0.02264812376574966,0.022650275911574015,0.022648524022190565,
N,3,3,3,3,3,3,3,3,
depth,13,13,13,13,13,13,13,13,
gamma,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
epsilon,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
time(ideal),0.0009770393371582031,0.0009770393371582031,0.0009770393371582031,0.0009770393371582031,0.0009770393371582031,0.0009770393371582031,0.0009770393371582031,0.0009770393371582031,
time std(ideal),4.619704766890142e-05,4.619704766890142e-05,4.619704766890142e-05,4.619704766890142e-05,4.619704766890142e-05,4.619704766890142e-05,4.619704766890142e-05,4.619704766890142e-05,
time(noise),0.004748026529947917,0.004748026529947917,0.004748026529947917,0.004748026529947917,0.004748026529947917,0.004748026529947917,0.004748026529947917,0.004748026529947917,
time std(noise),7.888649153246596e-05,7.888649153246596e-05,7.888649153246596e-05,7.888649153246596e-05,7.888649153246596e-05,7.888649153246596e-05,7.888649153246596e-05,7.888649153246596e-05,
time(LRET),0.0050089359283447266,0.005001147588094075,0.004979372024536133,0.005841414133707683,0.0058282216389973955,0.0058201948801676435,0.005820353825887044,0.005823294321695964,
time std(LRET),8.207857531244129e-05,6.218790627010725e-05,9.123013536312637e-05,8.393199411236589e-05,8.248050073279358e-05,6.97129655859977e-05,7.479008376933845e-05,6.161181821205748e-05,
