x,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
error_ratio_avg,0.010806434643538454,0.013305359148026332,0.01330751900656463,0.013306496224453198,0.9999964243341498,0.9999964243341498,0.9999964243341498,0.9999964243341498,
error_ratio_std,0.0007747294175414814,0.0009192039895340037,0.0009231632440018403,0.0009217340459112377,2.249891987154023e-06,2.249891987154023e-06,2.249891987154023e-06,2.249891987154023e-06,
N,13,13,13,13,13,13,13,13,
depth,1,1,1,1,1,1,1,1,
gamma,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
epsilon,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
time(ideal),0.5613877773284912,0.5613877773284912,0.5613877773284912,0.5613877773284912,0.5613877773284912,0.5613877773284912,0.5613877773284912,0.5613877773284912,
time std(ideal),0.0009545598885478244,0.0009545598885478244,0.0009545598885478244,0.0009545598885478244,0.0009545598885478244,0.0009545598885478244,0.0009545598885478244,0.0009545598885478244,
time(noise),128.29580553372702,128.29580553372702,128.29580553372702,128.29580553372702,128.29580553372702,128.29580553372702,128.29580553372702,128.29580553372702,
time std(noise),1.4537994842649866,1.4537994842649866,1.4537994842649866,1.4537994842649866,1.4537994842649866,1.4537994842649866,1.4537994842649866,1.4537994842649866,
time(LRET),0.5335565408070883,0.49695595105489093,0.4984976450602214,0.4909617106119792,0.38594714800516766,0.3865502675374349,0.3860817750295003,0.38700373967488605,
time std(LRET),0.02965702119475218,0.025169245616349915,0.024884761173756202,0.02089578966640281,0.001354289309482766,0.0009455166911380309,0.0013292861669852959,0.0014767961307464157,
