x,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
error_ratio_avg,0.0068879647120622415,0.021953065874536364,0.05971311512626221,0.1638214193294235,0.25879634206343305,0.9965852979165284,0.9965855588948296,0.9965855764127278,
error_ratio_std,0.0006201542948271014,0.001816466618257774,0.005329192323891126,0.013462955863384392,0.014088686773640493,0.004831742330940494,0.00483134013506016,0.004831939125679619,
N,13,13,13,13,13,13,13,13,
depth,7,7,7,7,7,7,7,7,
gamma,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
epsilon,3e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1,
time(ideal),0.5726830164591471,0.5726830164591471,0.5726830164591471,0.5726830164591471,0.5726830164591471,0.5726830164591471,0.5726830164591471,0.5726830164591471,
time std(ideal),0.002304542831194649,0.002304542831194649,0.002304542831194649,0.002304542831194649,0.002304542831194649,0.002304542831194649,0.002304542831194649,0.002304542831194649,
time(noise),899.9889410336813,899.9889410336813,899.9889410336813,899.9889410336813,899.9889410336813,899.9889410336813,899.9889410336813,899.9889410336813,
time std(noise),9.850592632410555,9.850592632410555,9.850592632410555,9.850592632410555,9.850592632410555,9.850592632410555,9.850592632410555,9.850592632410555,
time(LRET),1359.4546825885773,265.9396388530731,58.87021032969157,32.68256346384684,14.173132022221884,0.5537223815917969,0.6964772542317709,0.5557517210642496,
time std(LRET),494.96884692150854,114.08680616055477,28.149589379157074,13.65867316698794,3.145074176663938,0.004357957292395844,0.19482649292008855,0.009161685391490561,
